type,year,buoy,time_port,time_anchor,time_trip,time_maneuver,v_trip,v_maneuver,v_max,P_main,P_aux,is_man,valve_type,rpm,Total_PM10,Total_PM2.5,Total_NOx,Total_SOx,Total_CO,Total_HC,Total_CO2,Total_N2O,Total_CH4
oil_tanker,2009,0,16.810000000000002,11.25,0.21,5.35,11.22,5.66,17.43,47769.5,9553.9,False,C3,1337.2,17621.592378407393,15956.716920907334,850990.8613843985,31853.968184819965,88404.43146087731,73571.32277214008,52547867.03994422,2350.355712395006,1471.4264554428014
other_ship,2015,0,19.229999999999997,13.2,0.28,5.75,8.52,5.27,14.47,12802.1,2560.4,True,SV,263.9,4500.71286847249,4035.19814332443,305493.0027015637,11083.824741964603,25586.548406414233,11215.95142324297,18332581.048910186,761.0623620712013,224.3190284648594
ro_ro_ship,2020,0,17.630000000000003,11.23,0.23,6.17,10.4,4.91,17.51,8631.5,1726.3,True,C3,1561.8,2820.9032476449897,2530.0122232269423,34129.41278727201,6393.555859011941,17207.843665065757,7162.295132034503,10582078.77878166,471.5322435849571,143.24590264069008
oil_tanker,2019,0,19.82,13.07,0.21,6.54,11.26,4.63,20.6,20332.9,4066.6,True,SV,1148.7,5203.248529748099,4659.652020699856,63020.79917652606,12101.25502864288,30024.547079221207,11948.913644936489,20035474.53399674,833.1195873231738,238.97827289872976
ro_ro_ship,2002,0,19.67,13.51,0.22,5.94,10.97,5.1,16.89,48791.8,9758.4,False,C3,186.3,23299.905578415855,21022.897876147203,1366064.2962674336,45026.05755455402,122488.63415427346,82361.53431879931,74393191.5141287,3247.20201571767,1647.2306863759864
container_ship,1995,0,22.080000000000002,16.51,0.26,5.31,9.05,5.7,16.17,41736.7,8347.3,True,C3,1651.0,18427.076868409815,16503.25826927732,1469325.4312336002,41881.60030076297,113087.891264502,47692.827875564784,69309274.74110821,3112.447802835334,953.8565575112957
other_ship,1999,0,23.47,17.61,0.25,5.61,9.46,5.4,16.65,21908.7,4381.7,False,C3,1612.3,12324.847688449616,11059.832436213823,809532.5600460212,23841.92676682423,64217.165570798024,43432.52278534963,39396963.93653864,1717.920886724592,868.6504557069927
other_ship,1995,0,19.66,13.16,0.24,6.26,9.77,4.84,16.44,36351.1,7270.2,False,SV,697.7,17171.95198487285,15409.807469605945,1128846.6011610823,33247.94384345191,96572.6167709413,60358.49310515424,54937784.3279737,2395.901040876317,1207.1698621030848
ro_ro_ship,2011,0,21.61,15.28,0.24,6.09,9.85,4.97,16.36,26455.4,5291.1,True,SV,1545.7,10162.065253849652,9103.854751949948,640913.0789644395,24002.635622216185,58818.4151826073,23867.19303763965,39727969.8691148,1652.2778837490796,477.343860752793
other_ship,1997,0,17.0,10.29,0.25,6.46,9.6,4.69,19.47,10087.5,2017.5,True,SV,727.9,2992.3591111311925,2678.155303642629,239867.71279244527,6954.387805219168,17071.831471832797,6886.062494538533,11514454.841468811,478.6676095937951,137.72124989077065
general_cargo_ship,2017,0,29.65,22.12,0.2,7.33,11.97,4.13,18.96,6938.2,1387.6,False,SV,1194.9,4284.766055502434,3853.323060750902,44108.17060035159,8578.860914079447,23966.29560031331,13115.62296190465,14193833.111950783,615.3574585269985,262.31245923809297
bulk_carrier,2022,0,19.43,12.14,0.23,7.06,10.42,4.29,17.22,20761.9,4152.4,True,SV,497.8,7109.104518650824,6367.332528344073,86504.80522377524,16577.388034072224,41501.713013039305,16329.410841896879,27444098.059103474,1141.5434280258648,326.5882168379376
other_ship,2020,0,23.27,17.22,0.27,5.78,8.86,5.24,15.35,17322.6,3464.5,True,C3,1215.8,7581.728156529408,6802.152261409403,93285.97874287465,17246.589274026104,46573.222682922606,19652.63713615154,28540342.96406721,1281.5315946589867,393.0527427230308
reefer_ship,2004,0,30.319999999999997,23.97,0.22,6.13,10.9,4.94,18.76,21691.5,4338.3,True,C3,108.4,17161.148195828515,15366.622275087062,1160388.6419997253,38148.76136999648,102553.0695169121,39450.31516254996,63192790.18543512,2707.1099273282525,789.0063032509993
general_cargo_ship,2018,0,26.410000000000004,19.62,0.21,6.58,11.14,4.6,20.84,40465.1,8093.0,True,SV,1818.9,18490.86833185798,16552.147357703598,210348.21362564308,42011.03585369415,106724.72167017026,40826.35276891886,69584281.21454528,2896.136768234949,816.5270553783773
bulk_carrier,2017,0,30.39,22.84,0.22,7.33,10.49,4.13,18.97,26308.1,5261.6,True,SV,1721.5,13833.509158618914,12382.952286785312,156578.1586174065,31374.811613514546,80079.36993544384,30436.13796078357,51968374.9092581,2163.385922343442,608.7227592156713
cruise_ship,2024,0,23.27,16.32,0.22,6.73,10.87,4.5,19.85,13583.5,2716.7,True,SV,1480.1,9724.82565004989,8704.059220323965,108183.16957497316,21919.51313043883,56230.917995151234,21174.71808282571,36311052.23416836,1511.7670190593008,423.4943616565141
general_cargo_ship,2023,0,24.13,17.38,0.21,6.54,11.48,4.63,21.06,15526.4,3105.3,False,SV,76.9,7924.1591403498505,7126.889993145787,85943.46037330467,15576.8618801751,46058.10919690934,27525.561904227798,25771916.189192615,1133.5101389034812,550.5112380845559
reefer_ship,2004,0,19.200000000000003,11.64,0.21,7.35,11.12,4.12,16.22,33928.8,6785.8,True,SV,1930.7,17002.99132040138,15226.846199841912,1180348.6994725415,39123.361733797596,100168.3311424241,38138.548216025694,64781621.27150239,2697.1613468045916,762.7709643205139
container_ship,2016,0,25.48,19.17,0.24,6.07,9.68,4.99,15.61,5109.0,1021.8,True,C3,912.6,2556.3649281908533,2292.2396106739398,30482.636115183173,5777.419727067032,15499.293961530664,6356.420259143348,9563427.63371611,423.05814607242775,127.12840518286694
container_ship,2012,0,26.799999999999997,20.66,0.24,5.9,10.0,5.13,19.55,34631.8,6926.4,False,SV,931.6,22098.99919561584,19905.05669928302,1121895.3464216762,42572.01671176485,121661.76123820062,75393.87305897255,70398328.02352244,3098.56809964082,1507.877461179451
container_ship,1992,0,22.939999999999998,16.22,0.21,6.51,11.41,4.65,18.86,19077.0,3815.4,False,SV,266.6,10632.336049773978,9537.490097466323,701364.3154865436,20346.13846673391,58574.16582452024,36847.77073557026,33639178.49823469,1485.866178713467,736.9554147114052
other_ship,2012,0,17.43,11.21,0.25,5.97,9.35,5.07,16.57,32661.3,6532.3,True,C3,798.8,10726.146624640322,9624.085867024789,659634.1416547572,24386.18379409297,65945.58474941544,28045.330429962465,40354066.715663046,1821.8466769512343,560.9066085992492
