type,year,buoy,time_port,time_anchor,time_trip,time_maneuver,v_trip,v_maneuver,v_max,P_main,P_aux,is_man,valve_type,rpm,E1_PM10,E2_PM10,E3_PM10,E4_PM10,E5_PM10,Total_PM10,E1_PM2.5,E2_PM2.5,E3_PM2.5,E4_PM2.5,E5_PM2.5,Total_PM2.5,E1_NOx,E2_NOx,E3_NOx,E4_NOx,E5_NOx,Total_NOx,E1_SOx,E2_SOx,E3_SOx,E4_SOx,E5_SOx,Total_SOx,E1_CO,E2_CO,E3_CO,E4_CO,E5_CO,Total_CO,E1_HC,E2_HC,E3_HC,E4_HC,E5_HC,Total_HC,E1_CO2,E2_CO2,E3_CO2,E4_CO2,E5_CO2,Total_CO2,E1_N2O,E2_N2O,E3_N2O,E4_N2O,E5_N2O,Total_N2O,E1_CH4,E2_CH4,E3_CH4,E4_CH4,E5_CH4,Total_CH4
reefer_ship,2005,0,21.73,15.99,0.21,5.53,11.32,5.48,17.32,5697.0,1139.4,True,C3,373.1,46.84508179872522,154.8777611706805,9.092412000000001,802.1022786000002,2319.2794638000005,3332.1969973694063,43.087454916474535,142.4544113441553,8.135316000000001,717.6704598000002,2075.1447834000005,2986.4924254606303,4360.1832285244855,22156.470646438953,583.82856,51503.409468000005,148922.155044,227526.04694696347,137.95667832675565,436.15437555629626,20.099016000000002,1773.0681948000004,5126.828288400001,7494.106553083053,396.8053987656725,1470.8447907066752,52.64028000000001,4643.7500340000015,13427.407422000002,19991.447925472352,200.40676705336992,1182.4634172234803,19.141920000000002,1688.6363760000004,4882.6936080000005,7973.342088276851,226028.7722211433,714597.069178271,33306.940800000004,2938227.2942400007,8495886.877920002,12408046.954359416,10.36436996944345,52.6670203890762,1.3877892000000003,122.42613726000003,353.9952865800001,540.8406033985198,4.0081353410673985,23.649268344469608,0.3828384,33.77272752000001,97.65387216000002,159.46684176553703
other_ship,2017,0,18.88,12.79,0.22,5.87,10.81,5.16,20.17,29764.8,5953.0,True,SV,508.8,88.59811892433636,202.40247127882006,42.302018000000004,2987.7214050000002,6509.873384999999,9830.897398203157,81.49131794110083,186.16697893025156,37.849174000000005,2673.224415,5824.623555,8803.355440871353,3721.745990085901,14146.818197779648,445.28440000000006,31449.699,68524.983,118288.53058786555,428.484656160865,1290.3559774691073,93.509724,6604.43679,14390.246429999997,22807.03357762997,831.6469235701162,386.1414396416281,244.90642000000005,17297.334450000002,37688.74065,56448.769883211746,463.70616344515565,1930.7071982081404,89.05688000000002,6289.9398,13704.996599999999,22478.406641653295,702030.9703184246,2114124.382037914,154958.97120000003,10944495.252,23846694.084,37762303.65955634,29.2336494345859,84.83410416369102,6.456623800000001,456.0206355,993.6122535,1570.157266398277,9.274123268903113,38.614143964162814,1.7811376000000003,125.79879600000001,274.09993199999997,449.5681328330659
bulk_carrier,1994,0,20.48,14.08,0.25,6.15,9.3,4.92,18.1,28759.4,5751.9,False,C3,1896.0,209.73571834681695,4842.656398017843,46.4465925,3024.4928175,6924.367295999999,15047.698822364659,189.5472534792089,4376.518349010778,41.557477500000005,2706.1251525000002,6195.486528,13509.234760489988,13903.707978387458,217104.80874192796,3373.4893500000003,219673.68885,502927.72992,956983.4248403155,434.11051194304446,4700.811463580621,102.671415,6685.7209649999995,15306.496127999999,27229.810483523666,665.5756504468811,16643.138973967238,268.90132500000004,17510.221575,40088.442240000004,75176.27976441412,716.8367960237641,37619.28013248605,97.7823,6367.3533,14577.61536,59378.86788850982,711248.3948792524,7655150.511265546,170141.202,11079194.741999999,25365050.7264,44980785.57654479,30.54602510403305,476.9726858724175,7.08921675,461.63311425,1056.8771136,2033.1181555764506,14.336735920475281,752.3856026497209,1.955646,127.347066,291.5523072,1187.5773577701962
general_cargo_ship,2004,0,24.509999999999998,18.01,0.24,6.26,9.98,4.84,15.13,31734.0,6346.8,True,SV,623.3,241.1595790295629,462.1081782836929,49.200393600000005,3396.997764,9773.151714000001,13922.617628913256,221.81522777050705,425.0406773518459,44.021404800000006,3039.419052,8744.398902,12474.695263922355,30400.139809146745,144394.17380539147,3159.1831680000005,218123.01432,627539.2153200001,1023615.7264225383,902.8019661613375,2842.427014438775,108.75876480000001,7509.152952,21603.809052,32966.94974940011,3991.2751863317494,858.4052847375101,284.84438400000005,19666.82916,56581.404660000015,81382.75867506927,775.9598527643872,4161.96501690914,103.57977600000002,7151.574240000001,20575.056240000005,32768.135125673536,1479154.3435610943,4657043.7618111605,180228.81024000002,12443739.1776,35800597.8576,54560763.95081226,63.3882696624429,188.5890398286954,7.509533760000002,518.4891324,1491.6915774000001,2269.6675530511384,15.519197055287743,83.2393003381828,2.0715955200000002,143.03148480000002,411.50112480000007,655.3627025134706
cruise_ship,2011,0,27.64,21.41,0.27,5.96,8.66,5.08,18.38,24372.3,4874.5,True,C3,1806.8,101.68248050640688,476.01111045292663,200.04948000000002,4415.90704,15863.182840000001,21056.832950959335,93.5261318026844,437.8284010583068,178.99164000000002,3951.0747200000005,14193.37412,18854.795012860992,10985.259519950274,59896.25015878912,11055.366,244036.96800000002,876649.578,1202623.4216787394,295.3286530216206,1352.8026597563687,442.21464000000003,9761.478720000001,35065.98312,46917.80779277799,938.8404752639207,4588.058895931824,1158.1812000000002,25565.777600000005,91839.4796,124090.33777119576,657.3259925784781,3756.9332536874895,421.15680000000003,9296.646400000001,33396.1744,47528.23684626597,483867.6434793134,2216437.2754611825,732812.832,16176164.736000001,58109343.456,77718625.9429405,30.34024057891028,165.42773853379853,30.533868000000002,674.0068640000001,2421.222644,3321.5313551127088,13.146519851569561,75.13866507374979,8.423136000000001,185.93292800000003,667.923488,950.5647369253194
oil_tanker,2006,0,30.65,23.99,0.2,6.46,11.81,4.69,16.93,26108.2,5221.6,True,C3,614.6,248.59283950718597,556.5149065598218,47.62099200000001,2114.9673072,7854.1897368,10821.885782067007,228.6522374076791,511.874673413312,42.608256000000004,1892.3391696,7027.4329224,9702.907258820991,21624.47516568748,81363.54783619275,3057.76896,135803.163936,504321.656784,746170.6126818802,724.9871173991389,1581.590910917708,105.26745600000001,4675.1908896,17361.8931024,24448.92947631685,2047.2351488827087,5363.999099371778,275.70048,12244.547568000002,45471.624792,65403.10708825449,957.1489007763312,4392.312096744939,100.25472000000002,4452.562752000001,16535.136288,26437.41475752127,1187821.785863427,2591284.8590347483,174443.2128,7747459.18848,28771137.14112,40472146.18729818,51.402440967617785,193.40515469258938,7.268467200000001,322.81079952000005,1198.79738088,1773.6842432602073,19.142978015526623,87.84624193489876,2.0050944000000004,89.05125504,330.70272576,528.7482951504254
other_ship,2023,0,28.47,22.0,0.25,6.22,9.35,4.87,18.02,27370.9,5474.2,False,SV,221.7,205.56018800059675,4581.11423192404,44.204165,2911.234302,10296.9702,18039.083086924635,189.07140286685905,4213.645175887352,39.551095000000004,2604.788586,9213.0786,16260.134859754211,2684.0874582919123,40453.52077338497,465.307,30644.5716,108389.16,182636.6468316769,425.4680087465503,4446.93005810104,97.71447,6435.360036,22761.7236,34167.19617284759,874.7085442337413,21111.64334815184,255.91885000000002,16854.51438,59614.03800000001,98710.8231223856,702.5656274375198,35587.53821150912,93.0614,6128.91432,21677.832000000002,64189.911558946646,697088.4831583131,7241711.175096666,161926.836,10664310.9168,37719427.68,56484465.091054976,29.937898573255943,451.2123470877554,6.746951500000001,444.3462882,1571.64282,2503.886305361011,14.051312548750394,711.7507642301824,1.861228,122.5782864,433.55664,1283.7982311789328
cruise_ship,2024,0,24.9,18.4,0.28,6.22,8.29,4.87,13.81,9675.5,1935.1,False,C3,1717.2,109.58613525750572,1524.9996212827284,82.357856,1829.5209439999996,5412.08768,8958.552236540234,100.7958035523582,1402.673448452563,73.688608,1636.939792,4842.3942400000005,8056.491892004921,1523.657495558903,15164.750573508747,866.9248,19258.115199999997,56969.344,93782.79206906764,234.99486758427696,2137.7917263406816,182.054208,4044.2041919999992,11963.56224,18562.60723392496,644.6243250441513,6207.993889493599,476.80864,10591.96336,31333.1392,49254.529414537756,293.01105683825057,10174.053856748384,173.38496,3851.6230399999995,11393.8688,25885.94171358663,385016.52868546126,3485227.056188382,301689.8304,6701824.089599999,19825331.711999997,30699089.21687384,16.994641296618532,169.1452948583668,12.570409600000001,279.24267039999995,826.055488,1304.0085041549853,5.860221136765012,203.48107713496768,3.4676992,77.03246079999998,227.877376,517.7188342717327
bulk_carrier,2019,0,25.22,18.88,0.24,6.1,10.04,4.96,16.9,38430.0,7686.0,False,SV,1248.6,361.6298383935343,4798.600975853508,59.581872,4008.6333,12407.04864,21635.494626247044,332.6220973459246,4413.686459073815,53.310096,3586.6719000000003,11101.043520000001,19487.33407241974,5028.008448252349,44992.62527161556,627.1776,42196.14,130600.512,223444.4633198679,775.4736106727662,5822.313579833866,131.70729599999999,8861.1894,27426.107519999998,43016.79140650663,2127.2343434913787,24846.33576873803,344.94768,23207.877,71830.2816,122356.67639222942,966.9247015869902,34609.711747396585,125.43552,8439.228000000001,26120.102400000003,70261.40236898357,1270539.057885305,9500365.874660362,218257.80479999998,14684256.72,45448978.176,71122397.63334566,56.08163269204543,501.84082033725053,9.0940752,611.84403,1893.7074240000002,3072.567982229296,19.338494031739803,692.1942349479317,2.5087104,168.78456,522.402048,1405.2280473796718
general_cargo_ship,2021,0,20.84,13.52,0.21,7.11,11.06,4.26,17.15,25092.0,5018.4,True,C3,752.3,198.2122316806474,424.38595513069663,34.0398072,3050.7104520000003,5801.069664,9508.418110011344,182.3128548078682,390.3443009758279,30.456669599999998,2729.5830360000004,5190.430752,8523.127613383696,4005.229693996113,13222.926866903223,358.31375999999995,32112.7416,61063.8912,110763.10312089934,583.726189312355,1206.0862367640636,75.24588959999998,6743.675736,12823.417152,21432.151203676418,1678.9741977654842,4090.4670374043058,197.072568,17662.00788,33585.14016,57213.66184316979,862.0995459906945,3349.4800272862794,71.662752,6422.548320000001,12212.77824,22918.568885276974,956379.3176514147,1976056.5026284035,124693.18847999998,11175234.0768,21250234.1376,35482597.22315982,44.673715817648954,147.48649197699748,5.195549519999999,465.63475320000003,885.4264224,1548.4169329146466,17.241990919813894,66.9896005457256,1.4332550399999997,128.4509664,244.2555648,458.3713777055395
cruise_ship,2009,0,29.060000000000002,23.05,0.21,5.8,11.06,5.22,17.06,41873.9,8374.8,False,C3,1705.4,448.0563258364047,5633.461576583271,267.323616,7383.22368,29341.94928,43074.014478419675,412.1159788441797,5181.579631937554,239.184288,6606.042240000001,26253.323040000003,38692.24517878174,25158.242894557483,213313.32444707747,14773.1472,408020.256,1621528.776,2282793.746541635,960.8052762588144,6835.279700033636,590.925888,16320.810239999999,64861.15104,89568.97214429245,2635.6254460964983,21753.228074012077,1547.6630400000001,42744.9792,169874.4432,238555.9389601086,1198.0115664074992,40631.109418490945,562.78656,15543.6288,61772.52480000001,119708.06114489844,1574187.198259454,11153239.535375765,979248.6144,27045914.112,107484193.15200001,148236782.6120352,69.48467085163496,589.1510865681188,40.8020256,1126.913088,4478.508048000001,6304.8589190197545,23.960231328149984,812.6221883698189,11.2557312,310.872576,1235.4504960000002,2394.1612228979693
general_cargo_ship,2003,0,29.96,23.96,0.21,5.79,11.42,5.23,20.68,28887.3,5777.5,True,C3,1694.0,147.09749825888522,419.91237884891314,39.188782499999995,2860.1224875,11835.67095,15301.992097107799,135.2982336926645,386.2295677112997,35.0636475,2559.0569625,10589.81085,13705.459261403965,16202.280174914367,61391.996010821065,2516.3323499999997,183649.97024999998,759974.661,1023735.2397857354,430.13682645950155,1193.3725295422694,86.62783499999999,6322.376025,26163.0621,34195.57531600177,1303.5377996967675,4047.3482298690433,226.882425,16558.603875,68522.3055,90658.67782956582,796.8334512252968,3314.172180206937,82.5027,6021.3105,24917.202,35132.02083143224,704737.8927279115,1955226.3139882067,143554.69799999997,10477080.27,43355931.48,56636530.65471612,38.51361680922268,145.93179379621404,5.98144575,436.54501125,1806.497145,2433.4690126054365,15.936669024505937,66.28344360413874,1.650054,120.42621,498.34404,702.6404166286447
other_ship,1992,0,23.11,16.79,0.23,6.09,10.39,4.97,17.45,38106.8,7621.4,False,SV,518.5,345.96508517994965,7309.232564345782,56.61938060000001,3968.4248729999995,10940.862662999998,22621.10456612573,312.66363313054273,6605.6700715210545,50.659445800000015,3550.6959389999997,9789.192909,20308.881998451594,24421.064836231737,327685.75911809213,4112.355012000001,288232.96446,794652.1302599999,1439104.2736863238,741.8823484340097,7095.139816757826,125.15863080000001,8772.307613999998,24185.064833999993,40919.55324399183,2035.0887363526451,33683.92562050482,327.7964140000001,22975.09137,63341.836469999995,122363.73861085746,925.0403347057477,56780.42066006604,119.19869600000003,8354.578679999999,23033.39508,89212.63345077178,1215502.9998033524,11554252.62564834,207405.73104000004,14536966.903199999,40078107.43919999,67592235.69889168,53.652339412933365,719.9156829109601,8.641905460000002,605.7069542999999,1669.9211432999998,3057.838025383893,18.500806694114953,1135.6084132013207,2.3839739200000003,167.09157359999998,460.66790159999994,1784.2526690154355
oil_tanker,2000,0,28.13,22.95,0.21,4.97,11.34,6.09,19.44,48606.2,9721.2,False,C3,1981.2,378.88110971180544,6013.684744062436,93.0902112,3029.3106228,13988.466558000002,23503.433245774242,348.48957684722205,5531.303614859567,83.2912416,2710.4358204000005,12515.996394000003,21189.51664770679,24718.4467298611,264578.0653844959,5977.371455999999,194513.629464,898206.8000400001,1387994.313074357,812.4669785798609,7296.618019789975,205.77836159999998,6696.3708504,30921.873444000004,45933.107654369844,980.6334604305553,23221.433930883122,538.943328,17538.114132000002,80985.85902000002,123264.9838713137,1013.0510954861107,43373.45334172065,195.979392,6377.496048000001,29449.403280000006,80409.38315720676,1331149.1394687495,11906012.942302316,341004.14207999996,11096843.12352,51241961.707200006,75916971.05457106,58.75696353819443,628.9150734549494,14.20850592,462.36846348000006,2135.0817378000006,3299.3307441931447,20.261021909722214,867.469066834413,3.9195878399999997,127.54992096000001,588.9880656000001,1608.1876631441353
reefer_ship,2007,0,19.310000000000002,12.4,0.24,6.67,9.75,4.54,17.53,32328.7,6465.7,False,SV,1451.4,264.6153621919494,5106.284641696904,58.967183999999996,5489.9676787,10206.236764,21126.071630588853,243.38953100008177,4696.6896169618585,52.760112,4912.0763441,9131.896052,19036.81165606194,16775.08143125838,211581.02027602924,3786.3139199999996,352513.71410599997,655347.8343199999,1240003.9640532876,562.0840392035128,4956.717843912996,130.34851199999997,12135.7180266,22561.154951999997,40346.0233737165,1013.6736099950202,23531.842851334917,341.38896,31784.023403000003,59088.73916,115759.66798432994,787.6251825913133,39667.22736117179,124.14143999999999,11557.826692,21486.81424,73623.6349157631,912150.0589169366,8071887.466877314,216006.10559999998,20110618.44408,37387056.7776,66697718.853074245,39.875193566105985,502.9384908200695,9.0002544,837.94243517,1557.7940323999999,2947.5504063561757,15.752503651826267,793.3445472234357,2.4828287999999996,231.15653383999998,429.73628479999996,1472.472698315262
cruise_ship,2008,0,27.509999999999998,21.38,0.23,5.9,10.31,5.13,19.87,42864.0,8572.8,True,SV,389.9,118.46835689500679,301.1248055174182,299.705088,7688.08704,27859.542527999998,36266.92781841243,108.96554751840196,276.9704093529194,268.15718400000003,6878.814720000001,24926.959103999998,32459.86696487132,24362.99969161439,98758.83923690207,19244.221439999998,493656.1152,1788875.8886399998,2424898.0642085164,585.4006019738619,1919.730477146021,662.5059839999999,16994.71872,61584.25190399999,81746.60768711987,969.5620001637385,574.4829358042955,1735.13472,44509.977600000006,161292.08831999998,209081.24557596803,647.292812609314,2872.4146790214777,630.95808,16185.4464,58651.66847999999,78987.78045163078,959122.6820369756,3145294.073528518,1097867.0592,28162676.736,102053903.15519999,135418863.7059655,39.93934375674491,126.21216013882251,45.7444608,1173.444864,4252.2459647999995,5637.586793495567,12.945856252186282,57.44829358042956,12.6191616,323.708928,1173.0333695999998,1579.7556090326157
container_ship,2000,0,29.31,22.44,0.24,6.63,9.81,4.57,18.35,21315.2,4263.0,False,C3,827.6,162.24228542651343,2975.859820527606,25.271064000000003,2577.6485279999997,8724.348864,14465.370561954118,149.22819836021557,2737.1544873302046,22.610952000000005,2306.3171039999997,7805.996352,13021.30709369042,10107.99843491676,123305.98491987586,1622.66832,165512.16863999996,560195.03232,860743.8526347926,341.6412802287169,2888.6947180623824,55.862352,5697.959903999999,19285.402751999998,28269.561006291096,499.3657624574405,10227.372022586285,146.30616000000003,14923.22832,50509.38816,76305.66042504372,531.5062585635167,23117.416356291567,53.20224000000001,5426.628479999999,18367.05024,47495.80357485508,554611.1482740131,4704165.018994719,92571.89760000001,9442333.5552,31958667.4176,46752349.03766873,24.027209394474266,293.1043903833115,3.8571624000000004,393.43056479999996,1331.6111424,2046.0304693777857,10.630125171270333,462.3483271258313,1.0640448000000002,108.53256959999999,367.3410048,949.9160714971017
