type,year,buoy,time_port,time_anchor,time_trip,time_maneuver,v_trip,v_maneuver,v_max,P_main,P_aux,is_man,valve_type,rpm,E1_PM10,E2_PM10,E3_PM10,E4_PM10,E5_PM10,,E1_PM2.5,E2_PM2.5,E3_PM2.5,E4_PM2.5,E5_PM2.5,,E1_NOx,E2_NOx,E3_NOx,E4_NOx,E5_NOx,,E1_SOx,E2_SOx,E3_SOx,E4_SOx,E5_SOx,,E1_CO,E2_CO,E3_CO,E4_CO,E5_CO,,E1_HC,E2_HC,E3_HC,E4_HC,E5_HC,,E1_CO2,E2_CO2,E3_CO2,E4_CO2,E5_CO2,,E1_N2O,E2_N2O,E3_N2O,E4_N2O,E5_N2O,,E1_CH4,E2_CH4,E3_CH4,E4_CH4,E5_CH4,Total_CH4
reefer_ship,2005,0,21.73,15.99,0.21,5.53,11.32,5.48,17.32,5697,1139.4,TRUE,C3,373.1,46.8450818,154.8777612,9.092412,802.1022786,2319.279464,,43.08745492,142.4544113,8.135316,717.6704598,2075.144783,,4360.183229,22156.47065,583.82856,51503.40947,148922.155,,137.9566783,436.1543756,20.099016,1773.068195,5126.828288,,396.8053988,1470.844791,52.64028,4643.750034,13427.40742,,200.4067671,1182.463417,19.14192,1688.636376,4882.693608,,226028.7722,714597.0692,33306.9408,2938227.294,8495886.878,,10.36436997,52.66702039,1.3877892,122.4261373,353.9952866,,4.008135341,23.64926834,0.3828384,33.77272752,97.65387216,159.4668418
other_ship,2017,0,18.88,12.79,0.22,5.87,10.81,5.16,20.17,29764.8,5953,TRUE,SV,508.8,88.59811892,202.4024713,42.302018,2987.721405,6509.873385,,81.49131794,186.1669789,37.849174,2673.224415,5824.623555,,3721.74599,14146.8182,445.2844,31449.699,68524.983,,428.4846562,1290.355977,93.509724,6604.43679,14390.24643,,831.6469236,386.1414396,244.90642,17297.33445,37688.74065,,463.7061634,1930.707198,89.05688,6289.9398,13704.9966,,702030.9703,2114124.382,154958.9712,10944495.25,23846694.08,,29.23364943,84.83410416,6.4566238,456.0206355,993.6122535,,9.274123269,38.61414396,1.7811376,125.798796,274.099932,449.5681328
bulk_carrier,1994,0,20.48,14.08,0.25,6.15,9.3,4.92,18.1,28759.4,5751.9,FALSE,C3,1896,209.7357183,4842.656398,46.4465925,3024.492818,6924.367296,,189.5472535,4376.518349,41.5574775,2706.125153,6195.486528,,13903.70798,217104.8087,3373.48935,219673.6889,502927.7299,,434.1105119,4700.811464,102.671415,6685.720965,15306.49613,,665.5756504,16643.13897,268.901325,17510.22158,40088.44224,,716.836796,37619.28013,97.7823,6367.3533,14577.61536,,711248.3949,7655150.511,170141.202,11079194.74,25365050.73,,30.5460251,476.9726859,7.08921675,461.6331143,1056.877114,,14.33673592,752.3856026,1.955646,127.347066,291.5523072,1187.577358
general_cargo_ship,2004,0,24.51,18.01,0.24,6.26,9.98,4.84,15.13,31734,6346.8,TRUE,SV,623.3,241.159579,462.1081783,49.2003936,3396.997764,9773.151714,,221.8152278,425.0406774,44.0214048,3039.419052,8744.398902,,30400.13981,144394.1738,3159.183168,218123.0143,627539.2153,,902.8019662,2842.427014,108.7587648,7509.152952,21603.80905,,3991.275186,858.4052847,284.844384,19666.82916,56581.40466,,775.9598528,4161.965017,103.579776,7151.57424,20575.05624,,1479154.344,4657043.762,180228.8102,12443739.18,35800597.86,,63.38826966,188.5890398,7.50953376,518.4891324,1491.691577,,15.51919706,83.23930034,2.07159552,143.0314848,411.5011248,655.3627025
cruise_ship,2011,0,27.64,21.41,0.27,5.96,8.66,5.08,18.38,24372.3,4874.5,TRUE,C3,1806.8,101.6824805,476.0111105,200.04948,4415.90704,15863.18284,,93.5261318,437.8284011,178.99164,3951.07472,14193.37412,,10985.25952,59896.25016,11055.366,244036.968,876649.578,,295.328653,1352.80266,442.21464,9761.47872,35065.98312,,938.8404753,4588.058896,1158.1812,25565.7776,91839.4796,,657.3259926,3756.933254,421.1568,9296.6464,33396.1744,,483867.6435,2216437.275,732812.832,16176164.74,58109343.46,,30.34024058,165.4277385,30.533868,674.006864,2421.222644,,13.14651985,75.13866507,8.423136,185.932928,667.923488,950.5647369
oil_tanker,2006,0,30.65,23.99,0.2,6.46,11.81,4.69,16.93,26108.2,5221.6,TRUE,C3,614.6,248.5928395,556.5149066,47.620992,2114.967307,7854.189737,,228.6522374,511.8746734,42.608256,1892.33917,7027.432922,,21624.47517,81363.54784,3057.76896,135803.1639,504321.6568,,724.9871174,1581.590911,105.267456,4675.19089,17361.8931,,2047.235149,5363.999099,275.70048,12244.54757,45471.62479,,957.1489008,4392.312097,100.25472,4452.562752,16535.13629,,1187821.786,2591284.859,174443.2128,7747459.188,28771137.14,,51.40244097,193.4051547,7.2684672,322.8107995,1198.797381,,19.14297802,87.84624193,2.0050944,89.05125504,330.7027258,528.7482952
other_ship,2023,0,28.47,22,0.25,6.22,9.35,4.87,18.02,27370.9,5474.2,FALSE,SV,221.7,205.560188,4581.114232,44.204165,2911.234302,10296.9702,,189.0714029,4213.645176,39.551095,2604.788586,9213.0786,,2684.087458,40453.52077,465.307,30644.5716,108389.16,,425.4680087,4446.930058,97.71447,6435.360036,22761.7236,,874.7085442,21111.64335,255.91885,16854.51438,59614.038,,702.5656274,35587.53821,93.0614,6128.91432,21677.832,,697088.4832,7241711.175,161926.836,10664310.92,37719427.68,,29.93789857,451.2123471,6.7469515,444.3462882,1571.64282,,14.05131255,711.7507642,1.861228,122.5782864,433.55664,1283.798231
cruise_ship,2024,0,24.9,18.4,0.28,6.22,8.29,4.87,13.81,9675.5,1935.1,FALSE,C3,1717.2,109.5861353,1524.999621,82.357856,1829.520944,5412.08768,,100.7958036,1402.673448,73.688608,1636.939792,4842.39424,,1523.657496,15164.75057,866.9248,19258.1152,56969.344,,234.9948676,2137.791726,182.054208,4044.204192,11963.56224,,644.624325,6207.993889,476.80864,10591.96336,31333.1392,,293.0110568,10174.05386,173.38496,3851.62304,11393.8688,,385016.5287,3485227.056,301689.8304,6701824.09,19825331.71,,16.9946413,169.1452949,12.5704096,279.2426704,826.055488,,5.860221137,203.4810771,3.4676992,77.0324608,227.877376,517.7188343
bulk_carrier,2019,0,25.22,18.88,0.24,6.1,10.04,4.96,16.9,38430,7686,FALSE,SV,1248.6,361.6298384,4798.600976,59.581872,4008.6333,12407.04864,,332.6220973,4413.686459,53.310096,3586.6719,11101.04352,,5028.008448,44992.62527,627.1776,42196.14,130600.512,,775.4736107,5822.31358,131.707296,8861.1894,27426.10752,,2127.234343,24846.33577,344.94768,23207.877,71830.2816,,966.9247016,34609.71175,125.43552,8439.228,26120.1024,,1270539.058,9500365.875,218257.8048,14684256.72,45448978.18,,56.08163269,501.8408203,9.0940752,611.84403,1893.707424,,19.33849403,692.1942349,2.5087104,168.78456,522.402048,1405.228047
general_cargo_ship,2021,0,20.84,13.52,0.21,7.11,11.06,4.26,17.15,25092,5018.4,TRUE,C3,752.3,198.2122317,424.3859551,34.0398072,3050.710452,5801.069664,,182.3128548,390.344301,30.4566696,2729.583036,5190.430752,,4005.229694,13222.92687,358.31376,32112.7416,61063.8912,,583.7261893,1206.086237,75.2458896,6743.675736,12823.41715,,1678.974198,4090.467037,197.072568,17662.00788,33585.14016,,862.099546,3349.480027,71.662752,6422.54832,12212.77824,,956379.3177,1976056.503,124693.1885,11175234.08,21250234.14,,44.67371582,147.486492,5.19554952,465.6347532,885.4264224,,17.24199092,66.98960055,1.43325504,128.4509664,244.2555648,458.3713777
cruise_ship,2009,0,29.06,23.05,0.21,5.8,11.06,5.22,17.06,41873.9,8374.8,FALSE,C3,1705.4,448.0563258,5633.461577,267.323616,7383.22368,29341.94928,,412.1159788,5181.579632,239.184288,6606.04224,26253.32304,,25158.24289,213313.3244,14773.1472,408020.256,1621528.776,,960.8052763,6835.2797,590.925888,16320.81024,64861.15104,,2635.625446,21753.22807,1547.66304,42744.9792,169874.4432,,1198.011566,40631.10942,562.78656,15543.6288,61772.5248,,1574187.198,11153239.54,979248.6144,27045914.11,107484193.2,,69.48467085,589.1510866,40.8020256,1126.913088,4478.508048,,23.96023133,812.6221884,11.2557312,310.872576,1235.450496,2394.161223
general_cargo_ship,2003,0,29.96,23.96,0.21,5.79,11.42,5.23,20.68,28887.3,5777.5,TRUE,C3,1694,147.0974983,419.9123788,39.1887825,2860.122488,11835.67095,,135.2982337,386.2295677,35.0636475,2559.056963,10589.81085,,16202.28017,61391.99601,2516.33235,183649.9702,759974.661,,430.1368265,1193.37253,86.627835,6322.376025,26163.0621,,1303.5378,4047.34823,226.882425,16558.60388,68522.3055,,796.8334512,3314.17218,82.5027,6021.3105,24917.202,,704737.8927,1955226.314,143554.698,10477080.27,43355931.48,,38.51361681,145.9317938,5.98144575,436.5450113,1806.497145,,15.93666902,66.2834436,1.650054,120.42621,498.34404,702.6404166
other_ship,1992,0,23.11,16.79,0.23,6.09,10.39,4.97,17.45,38106.8,7621.4,FALSE,SV,518.5,345.9650852,7309.232564,56.6193806,3968.424873,10940.86266,,312.6636331,6605.670072,50.6594458,3550.695939,9789.192909,,24421.06484,327685.7591,4112.355012,288232.9645,794652.1303,,741.8823484,7095.139817,125.1586308,8772.307614,24185.06483,,2035.088736,33683.92562,327.796414,22975.09137,63341.83647,,925.0403347,56780.42066,119.198696,8354.57868,23033.39508,,1215503,11554252.63,207405.731,14536966.9,40078107.44,,53.65233941,719.9156829,8.64190546,605.7069543,1669.921143,,18.50080669,1135.608413,2.38397392,167.0915736,460.6679016,1784.252669
oil_tanker,2000,0,28.13,22.95,0.21,4.97,11.34,6.09,19.44,48606.2,9721.2,FALSE,C3,1981.2,378.8811097,6013.684744,93.0902112,3029.310623,13988.46656,,348.4895768,5531.303615,83.2912416,2710.43582,12515.99639,,24718.44673,264578.0654,5977.371456,194513.6295,898206.8,,812.4669786,7296.61802,205.7783616,6696.37085,30921.87344,,980.6334604,23221.43393,538.943328,17538.11413,80985.85902,,1013.051095,43373.45334,195.979392,6377.496048,29449.40328,,1331149.139,11906012.94,341004.1421,11096843.12,51241961.71,,58.75696354,628.9150735,14.20850592,462.3684635,2135.081738,,20.26102191,867.4690668,3.91958784,127.549921,588.9880656,1608.187663
reefer_ship,2007,0,19.31,12.4,0.24,6.67,9.75,4.54,17.53,32328.7,6465.7,FALSE,SV,1451.4,264.6153622,5106.284642,58.967184,5489.967679,10206.23676,,243.389531,4696.689617,52.760112,4912.076344,9131.896052,,16775.08143,211581.0203,3786.31392,352513.7141,655347.8343,,562.0840392,4956.717844,130.348512,12135.71803,22561.15495,,1013.67361,23531.84285,341.38896,31784.0234,59088.73916,,787.6251826,39667.22736,124.14144,11557.82669,21486.81424,,912150.0589,8071887.467,216006.1056,20110618.44,37387056.78,,39.87519357,502.9384908,9.0002544,837.9424352,1557.794032,,15.75250365,793.3445472,2.4828288,231.1565338,429.7362848,1472.472698
cruise_ship,2008,0,27.51,21.38,0.23,5.9,10.31,5.13,19.87,42864,8572.8,TRUE,SV,389.9,118.4683569,301.1248055,299.705088,7688.08704,27859.54253,,108.9655475,276.9704094,268.157184,6878.81472,24926.9591,,24362.99969,98758.83924,19244.22144,493656.1152,1788875.889,,585.400602,1919.730477,662.505984,16994.71872,61584.2519,,969.5620002,574.4829358,1735.13472,44509.9776,161292.0883,,647.2928126,2872.414679,630.95808,16185.4464,58651.66848,,959122.682,3145294.074,1097867.059,28162676.74,102053903.2,,39.93934376,126.2121601,45.7444608,1173.444864,4252.245965,,12.94585625,57.44829358,12.6191616,323.708928,1173.03337,1579.755609
container_ship,2000,0,29.31,22.44,0.24,6.63,9.81,4.57,18.35,21315.2,4263,FALSE,C3,827.6,162.2422854,2975.859821,25.271064,2577.648528,8724.348864,,149.2281984,2737.154487,22.610952,2306.317104,7805.996352,,10107.99843,123305.9849,1622.66832,165512.1686,560195.0323,,341.6412802,2888.694718,55.862352,5697.959904,19285.40275,,499.3657625,10227.37202,146.30616,14923.22832,50509.38816,,531.5062586,23117.41636,53.20224,5426.62848,18367.05024,,554611.1483,4704165.019,92571.8976,9442333.555,31958667.42,,24.02720939,293.1043904,3.8571624,393.4305648,1331.611142,,10.63012517,462.3483271,1.0640448,108.5325696,367.3410048,949.9160715
other_ship,2014,0,22.23,15.3,0.26,6.67,9.19,4.54,14.42,13916.8,2783.4,FALSE,C3,1090.4,175.1479641,2345.667768,23.3749932,1587.331269,3641.10471,,161.0986622,2157.512599,20.9144676,1420.243767,3257.83053,,9834.511353,88819.66848,1291.77594,87720.93855,201218.9445,,375.5846717,2846.082299,51.6710376,3508.837542,8048.75778,,1030.282142,9057.636277,135.328908,9189.81261,21080.0799,,468.3100644,16918.03209,49.210512,3341.75004,7665.4836,,615359.4247,4643999.809,85626.29088,5814645.07,13337941.46,,27.16198374,245.3114653,3.56776212,242.2768779,555.747561,,9.366201289,338.3606418,0.98421024,66.8350008,153.309672,568.8557262
reefer_ship,2000,0,29.92,23.88,0.27,5.77,8.62,5.25,16.78,41979.2,8395.8,FALSE,SV,604.3,330.4329115,6006.777077,86.140908,6166.891412,25522.59392,,303.9275977,5524.950039,77.073444,5517.744947,22836.00509,,20245.45009,264274.1557,5531.15304,395979.3433,1638819.188,,683.9292873,7288.236701,190.416744,13632.07575,56418.36551,,1406.072323,31102.06514,498.71052,35703.05554,147762.3858,,1129.356847,43323.63208,181.34928,12982.92929,53731.77667,,1120552.473,11892337.01,315547.7472,22590296.96,93493291.41,,48.12443054,628.1926651,13.1478228,941.2623734,3895.553809,,22.58713694,866.4726415,3.6269856,259.6585858,1074.635533,2226.980883
general_cargo_ship,2007,0,28,21.56,0.25,6.19,9.29,4.89,17.13,10017.7,2003.5,FALSE,C3,646.9,80.67675944,1966.447219,16.1782625,1060.342358,3693.21183,,74.20536163,1808.710811,14.4752875,948.7273725,3304.45269,,5117.197903,81480.55545,1038.81475,68085.14085,237143.0754,,169.7982936,1908.848547,35.762475,2343.914685,8163.94194,,239.7453156,6758.244166,93.663625,6138.824175,21381.7527,,251.6654706,15275.98134,34.0595,2232.2997,7775.1828,,278198.2017,3108510.742,59263.53,3884201.478,13528818.07,,12.16383108,193.6832876,2.46931375,161.8417283,563.700753,,5.033309413,305.5196269,0.68119,44.645994,155.503656,511.3837763
ro_ro_ship,1996,0,16.24,10.2,0.21,5.83,11.5,5.19,17.54,42269.8,8454,TRUE,C3,847,350.8787859,990.9043914,50.59719,4214.02311,7372.7334,,317.1043573,895.5232201,45.27117,3770.44173,6596.6562,,35335.55773,153375.988,3674.9538,306071.1522,535493.268,,1033.322388,2790.505769,111.84642,9315.20898,16297.6212,,2972.149716,9410.431499,292.9311,24396.9759,42684.246,,1501.085715,7565.374034,106.5204,8871.6276,15521.544,,1692999.524,4571975.787,185345.496,15436632.02,27007486.56,,77.63114956,336.9623979,7.722729,643.193001,1125.31194,,30.0217143,151.3074807,2.130408,177.432552,310.43088,671.323035
ro_ro_ship,1992,0,17.56,11.14,0.24,6.18,9.77,4.9,19.32,20293,4058.6,FALSE,SV,57.6,137.9064587,2744.397125,27.760824,2144.523654,3865.694742,,126.6640844,2520.669098,24.838632,1918.784322,3458.779506,,11884.79574,161039.1675,2016.31248,155760.1391,280771.5128,,259.9161371,2444.128948,61.366032,4740.525972,8545.219956,,790.7577505,16359.00966,160.72056,12415.66326,22380.33798,,604.6318979,26000.32703,58.44384,4514.78664,8138.30472,,425774.2246,3979514.957,101692.2816,7855728.754,14160650.21,,20.27406333,274.7138739,4.2371784,327.3220314,590.0270922,,12.09263796,520.0065405,1.1688768,90.2957328,162.7660944,786.3298825
bulk_carrier,2022,0,26.92,18.76,0.25,7.91,9.55,3.83,15.73,16844,3368.8,FALSE,C3,1017.7,176.2182138,2621.808729,27.20306,2278.336284,5403.487824,,162.083063,2411.503216,24.33958,2038.511412,4834.699632,,2450.092812,23151.87715,286.348,23982.4872,56878.8192,,377.8796992,2545.014041,60.13308,5036.322312,11944.55203,,1036.577728,9010.576729,157.4914,13190.36796,31283.35056,,471.1716947,20367.03597,57.2696,4796.49744,11375.76384,,619119.6068,4144489.88,99649.104,8345905.546,19793829.08,,27.32795829,258.2324759,4.152046,347.7460644,824.7428784,,9.423433894,407.3407194,1.145392,95.9299488,227.5152768,741.3547709
other_ship,1998,0,27.15,20.28,0.3,6.57,7.96,4.61,14.24,34740.7,6948.1,FALSE,C3,1858.6,360.8415393,6270.558814,67.327089,3902.990954,12047.58851,,326.1081291,5666.975613,60.240027,3492.149801,10779.4213,,24750.28538,298492.5701,4890.07278,283480.3956,875035.3763,,766.4833524,7608.292484,148.828302,8627.664213,26631.51145,,1030.861401,24213.33565,389.78841,22596.26342,69749.19666,,1074.04151,45226.14698,141.74124,8216.82306,25363.34424,,1243849.293,12414577.35,246629.7576,14297272.12,44132218.98,,54.37562697,655.7791313,10.2762399,595.7196719,1838.842457,,21.48083021,904.5229397,2.8348248,164.3364612,507.2668848,1600.441941
general_cargo_ship,1995,0,21.29,15.22,0.21,5.86,11.27,5.17,18.65,41832.8,8366.6,FALSE,SV,459.7,362.5042271,7118.996935,56.7506478,4191.917598,10887.54025,,327.6107721,6433.745893,50.7768954,3750.663114,9741.483378,,25588.53368,319157.1611,4121.889156,304465.594,790779.2389,,777.3486368,6910.476328,125.4488004,9266.344164,24067.19423,,2132.377807,32807.24223,328.556382,24268.99662,63033.12774,,969.2626394,55302.61038,119.475048,8825.08968,22921.13736,,1273611.108,11253532.89,207886.5835,15355656.04,39882779.01,,56.21723309,701.1786114,8.66194098,639.8190018,1661.782459,,19.38525279,1106.052208,2.38950096,176.5017936,458.4227472,1762.751502
container_ship,2005,0,20.86,14.85,0.22,5.79,10.51,5.23,19.4,5694.6,1138.9,FALSE,C3,545,40.23038835,880.6651268,6.1887826,601.3938672,1542.435048,,37.00335185,810.0235391,5.5373318,538.0892496,1380.073464,,2551.749231,36490.72449,397.384988,38615.81674,99040.56624,,84.67186013,854.8698035,13.6804668,1329.39697,3409.593264,,119.5517423,3026.651261,35.829794,3481.753968,8929.88712,,125.4958638,6841.284077,13.029016,1266.092352,3247.23168,,138726.7135,1392133.478,22670.48784,2203000.692,5650183.123,,6.065633419,86.74024675,0.94460366,91.79169552,235.4242968,,2.509917277,136.8256815,0.26058032,25.32184704,64.9446336,229.8626598
container_ship,1999,0,16.85,10.77,0.22,5.86,10.61,5.17,16.86,36015.2,7203,FALSE,SV,1393.5,369.2525975,4927.332482,39.141102,3849.513696,7074.959472,,333.7095667,4453.043794,35.020986,3444.301728,6330.226896,,26064.88924,234552.004,2842.88004,279596.2579,513865.4774,,791.8197412,5978.508104,86.522436,8509.451328,15639.3841,,2172.074103,25512.88551,226.60638,22286.65824,40960.29168,,987.3064105,35538.18243,82.40232,8104.23936,14894.65152,,1297320.623,9755231.077,143380.0368,14101376.49,25916693.64,,57.26377181,515.3036452,5.9741682,587.5573536,1079.862235,,19.74612821,710.7636486,1.6480464,162.0847872,297.8930304,1192.135641
container_ship,2007,0,28.61,22.22,0.24,6.15,9.81,4.92,15.86,12842.4,2568.5,TRUE,SV,1777.5,73.65297167,167.5453083,15.226068,1440.62028,5204.972784,,67.74497929,154.1058451,13.623324,1288.97604,4657.080912,,10856.11834,52352.60379,977.67384,92502.9864,334214.0419,,304.1813756,1030.57105,33.657624,3184.52904,11505.72931,,1171.387131,311.2296749,88.15092,8340.4332,30134.05296,,277.1650746,1508.992363,32.05488,3032.8848,10957.83744,,498371.9794,1688491.72,55775.4912,5277219.552,19066637.15,,21.15207148,68.37621645,2.3239788,219.884148,794.4432144,,5.543301492,30.17984726,0.6410976,60.657696,219.1567488,316.1786912
cruise_ship,2015,0,27.01,20.47,0.21,6.33,11.05,4.78,16.3,37663.8,7532.8,TRUE,C3,1194.7,345.5972838,933.1864423,240.446976,7247.758848,23437.85523,,317.8755765,858.3319148,215.136768,6484.836864,20970.71258,,26649.80124,114897.1903,13287.8592,400534.0416,1295249.894,,1007.887351,2627.965093,531.514368,16021.36166,51809.99578,,2873.200948,8862.295058,1392.06144,41960.70912,135692.8461,,1392.245742,7124.708035,506.20416,15258.43968,49342.85312,,1651326.658,4305668.494,880795.2384,26549685.04,85856564.43,,73.60421296,317.3350971,36.6998016,1106.236877,3577.356851,,27.84491485,142.4941607,10.1240832,305.1687936,986.8570624,1472.489015
